"sg_empresa_icao";"nm_empresa";"sg_icao_origem";"sg_icao_destino";"sg_equipamento_icao";"nr_assentos_ofertados";"dt_partida_prevista_bsb";"hr_partida_prevista_bsb";"dt_chegada_prevista_bsb";"hr_chegada_prevista_bsb";"nr_voo";"semana";"h";"turno";"rota";"semana_chegada";"h_chegada";"turno_chegada";"embarques_preditos";"excedente";"saldo";"id_linha";"data_atualizacao"
"AAL";"AMERICAN AIRLINES, INC.";"KDFW";"SBGR";"B789";295;2026-08-09;"23:10:00.1";2026-08-10;"09:00:00.1";"0963";"domingo";23;"noite";"KDFW-SBGR";"segunda-feira";9;"manha";258;37;NA;1;2026-08-09 07:39:56.677855
"AAL";"AMERICAN AIRLINES, INC.";"KDFW";"SBGR";"B789";295;2026-08-10;"23:10:00.1";2026-08-11;"09:00:00.1";"0963";"segunda-feira";23;"noite";"KDFW-SBGR";"terça-feira";9;"manha";257;38;NA;2;2026-08-09 07:39:56.677855
"AAL";"AMERICAN AIRLINES, INC.";"KDFW";"SBGR";"B789";295;2026-08-11;"23:10:00.1";2026-08-12;"09:00:00.1";"0963";"terça-feira";23;"noite";"KDFW-SBGR";"quarta-feira";9;"manha";252;43;NA;3;2026-08-09 07:39:56.677855
"AAL";"AMERICAN AIRLINES, INC.";"KDFW";"SBGR";"B789";295;2026-08-12;"23:10:00.1";2026-08-13;"09:00:00.1";"0963";"quarta-feira";23;"noite";"KDFW-SBGR";"quinta-feira";9;"manha";252;43;NA;4;2026-08-09 07:39:56.677855
"AAL";"AMERICAN AIRLINES, INC.";"KDFW";"SBGR";"B789";295;2026-08-13;"23:10:00.1";2026-08-14;"09:00:00.1";"0963";"quinta-feira";23;"noite";"KDFW-SBGR";"sexta-feira";9;"manha";255;40;NA;5;2026-08-09 07:39:56.677855
"AAL";"AMERICAN AIRLINES, INC.";"KDFW";"SBGR";"B789";295;2026-08-14;"23:10:00.1";2026-08-15;"09:00:00.1";"0963";"sexta-feira";23;"noite";"KDFW-SBGR";"sábado";9;"manha";257;38;NA;6;2026-08-09 07:39:56.677855
"AAL";"AMERICAN AIRLINES, INC.";"KDFW";"SBGR";"B789";295;2026-08-15;"23:10:00.1";2026-08-16;"09:00:00.1";"0963";"sábado";23;"noite";"KDFW-SBGR";"domingo";9;"manha";255;40;NA;7;2026-08-09 07:39:56.677855
"AAL";"AMERICAN AIRLINES, INC.";"KDFW";"SBGR";"B789";295;2026-08-16;"23:10:00.1";2026-08-17;"09:00:00.1";"0963";"domingo";23;"noite";"KDFW-SBGR";"segunda-feira";9;"manha";258;37;NA;8;2026-08-09 07:39:56.677855
"AAL";"AMERICAN AIRLINES, INC.";"KDFW";"SBGR";"B789";295;2026-08-17;"23:10:00.1";2026-08-18;"09:00:00.1";"0963";"segunda-feira";23;"noite";"KDFW-SBGR";"terça-feira";9;"manha";257;38;NA;9;2026-08-09 07:39:56.677855
"AAL";"AMERICAN AIRLINES, INC.";"KDFW";"SBGR";"B789";295;2026-08-18;"23:10:00.1";2026-08-19;"09:00:00.1";"0963";"terça-feira";23;"noite";"KDFW-SBGR";"quarta-feira";9;"manha";252;43;NA;10;2026-08-09 07:39:56.677855
